full_name,totalpaymenteach,customer_grade,country
Eleanor Hunt,212,High value cust.,Runion
Karl Seal,209,High value cust.,United States
Marion Snyder,195,High value cust.,Brazil
Rhonda Kennedy,192,High value cust.,Netherlands
Clara Shaw,190,High value cust.,Belarus
Tommy Collazo,184,High value cust.,Iran
Ana Bradley,168,High value cust.,United States
Curtis Irby,168,High value cust.,Canada
Marcia Dean,167,High value cust.,Philippines
Mike Way,163,High value cust.,India
Arnold Havens,162,High value cust.,Philippines
Wesley Bull,159,High value cust.,Spain
Gordon Allard,158,High value cust.,Yemen
Louis Leone,157,High value cust.,Philippines
Lena Jensen,155,High value cust.,India
Tim Cary,155,High value cust.,India
Warren Sherrod,153,High value cust.,Russian Federation
Steve Mackenzie,153,High value cust.,Indonesia
Brittany Riley,152,High value cust.,Ukraine
Guy Brownlee,152,High value cust.,China
June Carroll,152,High value cust.,Algeria
Neil Renner,150,Value cust.,Vietnam
Tammy Sanders,150,Value cust.,Taiwan
Tonya Chapman,148,Value cust.,India
Jacqueline Long,147,Value cust.,Thailand
Michelle Clark,147,Value cust.,Bangladesh
Jessica Hall,147,Value cust.,Holy See (Vatican City State)
Stacey Montgomery,147,Value cust.,China
Arthur Simpkins,146,Value cust.,Russian Federation
Brandon Huey,146,Value cust.,Turkey
Diane Collins,145,Value cust.,Sudan
Ralph Madrigal,145,Value cust.,Puerto Rico
Roger Quintanilla,145,Value cust.,Taiwan
Duane Tubbs,144,Value cust.,Nauru
Alex Gresham,144,Value cust.,Mexico
Ryan Salisbury,143,Value cust.,Latvia
Shawn Heaton,143,Value cust.,Thailand
Margie Wade,143,Value cust.,China
Marsha Douglas,143,Value cust.,Mozambique
Debra Nelson,142,Value cust.,Brazil
Lori Wood,142,Value cust.,India
Nicholas Barfield,141,Value cust.,Brazil
Roy Whiting,140,Value cust.,Kenya
Harry Arce,140,Value cust.,Iran
Sherry Marshall,140,Value cust.,Egypt
Janice Ward,140,Value cust.,Sweden
Tanya Gilbert,139,Value cust.,South Korea
Angela Hernandez,139,Value cust.,Japan
Wanda Patterson,138,Value cust.,Colombia
Marilyn Ross,138,Value cust.,Nigeria
Alexander Fennell,138,Value cust.,Italy
Jimmie Eggleston,136,Value cust.,Poland
Ramon Choate,136,Value cust.,Ecuador
Morris Mccarter,136,Value cust.,Taiwan
Kent Arsenault,135,Value cust.,Brazil
Alvin Deloach,135,Value cust.,Mexico
Zachary Hite,135,Value cust.,United States
Sylvia Ortiz,135,Value cust.,Colombia
Ella Oliver,135,Value cust.,Yemen
Rosemary Schmidt,135,Value cust.,Turkey
Helen Harris,135,Value cust.,India
Elizabeth Brown,135,Value cust.,Taiwan
Joe Gilliland,134,Value cust.,Philippines
Stanley Scroggins,134,Value cust.,Japan
Bernice Willis,134,Value cust.,Turkey
Sue Peters,134,Value cust.,China
Jennie Terry,133,Value cust.,Czech Republic
Jessie Milam,133,Value cust.,China
Russell Brinson,133,Value cust.,Poland
Greg Robins,132,Value cust.,Vietnam
Karen Jackson,132,Value cust.,Turkey
Catherine Campbell,132,Value cust.,Russian Federation
Ethel Webb,132,Value cust.,South Africa
Linda Williams,131,Value cust.,Greece
Priscilla Lowe,131,Value cust.,Mexico
Maria Miller,131,Value cust.,Yugoslavia
Brett Cornwell,131,Value cust.,India
Casey Mena,131,Value cust.,Turkey
Harold Martino,131,Value cust.,Brazil
Rosa Reynolds,130,Value cust.,United States
Jordan Archuleta,130,Value cust.,Argentina
Crystal Ford,130,Value cust.,Israel
Regina Berry,130,Value cust.,China
Roberto Vu,129,Value cust.,China
Gladys Hamilton,129,Value cust.,Nigeria
Glenda Frazier,129,Value cust.,China
Sara Perry,129,Value cust.,Mexico
Alma Austin,129,Value cust.,Germany
Miguel Betancourt,128,Value cust.,Germany
Bessie Morrison,128,Value cust.,Italy
Mitchell Westmoreland,128,Value cust.,Vietnam
Debbie Reyes,128,Value cust.,Japan
Martha Gonzalez,128,Value cust.,Moldova
Jeanne Lawson,127,Value cust.,Turkmenistan
Terri Vasquez,127,Value cust.,Brazil
Jamie Rice,127,Value cust.,United States
Troy Quigley,127,Value cust.,Canada
Tracy Cole,127,Value cust.,Mexico
Grace Ellis,127,Value cust.,Germany
Bradley Motley,126,Value cust.,India
Maurice Crawley,126,Value cust.,Mexico
Daisy Bates,126,Value cust.,Russian Federation
Joanne Robertson,126,Value cust.,Japan
Justin Ngo,126,Value cust.,Brazil
Janet Phillips,125,Value cust.,Chile
Julia Flores,125,Value cust.,Argentina
Elsie Kelley,125,Value cust.,Nigeria
Carrie Porter,125,Value cust.,China
John Farnsworth,124,Value cust.,India
Patricia Johnson,124,Value cust.,United States
Leslie Seward,124,Value cust.,Indonesia
Billy Poulin,124,Value cust.,Philippines
Alice Stewart,124,Value cust.,United States
Shirley Allen,124,Value cust.,Philippines
Melissa King,124,Value cust.,Taiwan
Eddie Tomlin,123,Value cust.,Philippines
Tina Simmons,123,Value cust.,Brazil
Javier Elrod,123,Value cust.,Chad
Cathy Spencer,123,Value cust.,Japan
Viola Hanson,123,Value cust.,Philippines
Jorge Olivares,123,Value cust.,Indonesia
Milton Howland,122,Value cust.,India
Gilbert Sledge,122,Value cust.,United Kingdom
Lynn Payne,122,Value cust.,Malawi
Barry Lovelace,122,Value cust.,Zambia
Jim Rea,122,Value cust.,Mexico
Nathan Runyon,122,Value cust.,"Virgin Islands, U.S."
Rick Mattox,121,Value cust.,Egypt
Alfred Casillas,121,Value cust.,Egypt
Dana Hart,121,Value cust.,Russian Federation
Marc Outlaw,121,Value cust.,Italy
Thelma Murray,121,Value cust.,Peru
Cheryl Murphy,120,Value cust.,India
Alan Kahn,120,Value cust.,China
Hector Poindexter,120,Value cust.,Russian Federation
Charles Kowalski,120,Value cust.,Malaysia
Gertrude Castillo,120,Value cust.,Greenland
Kathryn Coleman,119,Value cust.,Ukraine
Stephanie Mitchell,119,Value cust.,Armenia
Tracy Herrmann,119,Value cust.,Ecuador
Jaime Nettles,119,Value cust.,Peru
Virginia Green,119,Value cust.,France
Marjorie Tucker,119,Value cust.,Poland
Joy George,119,Value cust.,Romania
Marshall Thorn,118,Value cust.,United Kingdom
Miriam Mckinney,118,Value cust.,Japan
Perry Swafford,118,Value cust.,Argentina
Nathaniel Adam,118,Value cust.,United States
Lee Hawks,118,Value cust.,India
Byron Box,118,Value cust.,Kazakstan
Joyce Edwards,117,Value cust.,Saudi Arabia
Valerie Black,117,Value cust.,United States
Terry Carlson,117,Value cust.,Japan
Hilda Hopkins,117,Value cust.,Philippines
Naomi Jennings,117,Value cust.,India
Kathy James,117,Value cust.,Philippines
Gerald Fultz,117,Value cust.,India
Gloria Cook,116,Value cust.,French Polynesia
